Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
776,920,776,886.7089,776,920,776,1.0138
777,760,777,730.55301,777,760,777,1.0165
778,960,778,923.43972,778,960,778,1.0158
779,880,779,847.15359,779,880,779,1.015
780,880,780,845.23827,780,880,780,1.0173
781,1030,781,989.89682,781,1030,781,1.0167
782,660,782,635.55304,782,660,782,1.0147
783,840,783,808.24846,783,840,783,1.0155
784,970,784,931.13392,784,970,784,1.0179
785,850,785,820.05081,785,850,785,1.0128
786,760,786,730.48115,786,760,786,1.0166
787,860,787,829.12541,787,860,787,1.0135
788,790,788,761.03774,788,790,788,1.0143
789,840,789,809.84342,789,840,789,1.0135
790,710,790,683.701,790,710,790,1.0147
791,980,791,946.12426,791,980,791,1.0121
792,800,792,766.89073,792,800,792,1.0193
793,750,793,721.43728,793,750,793,1.0158
794,940,794,902.95692,794,940,794,1.0172
795,770,795,740.09275,795,770,795,1.0166
796,850,796,818.59596,796,850,796,1.0146
797,930,797,894.05414,797,930,797,1.0164
798,970,798,931.6831,798,970,798,1.0173
799,830,799,797.29175,799,830,799,1.0172
800,900,800,867.17601,800,900,800,1.0141
